answer,candidate_name,pct
Biden,Joseph R. Biden Jr.,25
Sanders,Bernard Sanders,16
Harris,Kamala D. Harris,8
Clinton,Hillary Rodham Clinton,7
O'Rourke,Beto O'Rourke,6
Warren,Elizabeth Warren,5
Winfrey,Oprah Winfrey,5
Booker,Cory A. Booker,3
Bloomberg,Michael Bloomberg,2
Klobuchar,Amy Klobuchar,1
Brown,Sherrod Brown,1
Castro,Julian Castro,1
Cuomo,Andrew Cuomo,1
Gillibrand,Kirsten E. Gillibrand,1
Patrick,Deval Patrick,1
Zuckerberg,Mark Zuckerberg,1
Hickenlooper,John Hickenlooper,1
Gabbard,Tulsi Gabbard,0.4
Holder,Eric H. Holder,0.2
Delaney,John K. Delaney,0.2
de Blasio,Bill de Blasio,0.2
Inslee,Jay Robert Inslee,0.2
Buttigieg,Pete Buttigieg,0.1
Yang,Andrew Yang,0.1
McAuliffe,Terry R. McAuliffe,0.1
Kaine,Tim Kaine,0
