answer,candidate_name,pct
Biden,Joseph R. Biden Jr.,29
Sanders,Bernard Sanders,22
Harris,Kamala D. Harris,13
Warren,Elizabeth Warren,8
O'Rourke,Beto O'Rourke,7
Booker,Cory A. Booker,5
Klobuchar,Amy Klobuchar,3
Bloomberg,Michael Bloomberg,2
Brown,Sherrod Brown,2
Castro,Julian Castro,1
Gillibrand,Kirsten E. Gillibrand,1
Gabbard,Tulsi Gabbard,1
Bullock,Steve Bullock,1
Holder,Eric H. Holder,1
Hickenlooper,John Hickenlooper,1
Inslee,Jay Robert Inslee,0
Buttigieg,Pete Buttigieg,0
McAuliffe,Terry R. McAuliffe,0
Delaney,John K. Delaney,0
