answer,candidate_name,pct
Biden,Joseph R. Biden Jr.,29
Sanders,Bernard Sanders,27
Harris,Kamala D. Harris,10
Warren,Elizabeth Warren,7
O'Rourke,Beto O'Rourke,7
Booker,Cory A. Booker,4
Klobuchar,Amy Klobuchar,3
Bloomberg,Michael Bloomberg,2
Brown,Sherrod Brown,1
Bullock,Steve Bullock,1
Buttigieg,Pete Buttigieg,1
Castro,Julian Castro,1
Delaney,John K. Delaney,1
Gabbard,Tulsi Gabbard,1
Gillibrand,Kirsten E. Gillibrand,1
Hickenlooper,John Hickenlooper,1
Holder,Eric H. Holder,1
McAuliffe,Terry R. McAuliffe,1
Inslee,Jay Robert Inslee,0
