answer,candidate_name,pct
Biden,Joseph R. Biden Jr.,30
Sanders,Bernard Sanders,21
Harris,Kamala D. Harris,11
Warren,Elizabeth Warren,8
O'Rourke,Beto O'Rourke,7
Booker,Cory A. Booker,5
Klobuchar,Amy Klobuchar,4
Bloomberg,Michael Bloomberg,2
Brown,Sherrod Brown,1
Bullock,Steve Bullock,1
Castro,Julian Castro,1
Gabbard,Tulsi Gabbard,1
Gillibrand,Kirsten E. Gillibrand,1
Hickenlooper,John Hickenlooper,1
Holder,Eric H. Holder,1
McAuliffe,Terry R. McAuliffe,1
Buttigieg,Pete Buttigieg,0
Delaney,John K. Delaney,0
Inslee,Jay Robert Inslee,0
