answer,candidate_name,pct
Sanders,Bernard Sanders,32
Harris,Kamala D. Harris,15
Warren,Elizabeth Warren,10
O'Rourke,Beto O'Rourke,7
Booker,Cory A. Booker,6
Klobuchar,Amy Klobuchar,3
Bloomberg,Michael Bloomberg,2
Brown,Sherrod Brown,2
Castro,Julian Castro,1
de Blasio,Bill de Blasio,1
Gillibrand,Kirsten E. Gillibrand,1
Hickenlooper,John Hickenlooper,1
Yang,Andrew Yang,1
Bennet,Michael F. Bennet,0
Buttigieg,Pete Buttigieg,0
Gabbard,Tulsi Gabbard,0
Holder,Eric H. Holder,0
Inslee,Jay Robert Inslee,0
McAuliffe,Terry R. McAuliffe,0
Williamson,Marianne Williamson,0
Bullock,Steve Bullock,0
Delaney,John K. Delaney,0
